brand;type;count;year
RENAULT;combustion;6449;2019
CHEVROLET;combustion;5752;2019
MAZDA;combustion;2158;2019
TOYOTA;combustion;2176;2019
NISSAN;combustion;2369;2019
KIA;combustion;2490;2019
VOLKSWAGEN;combustion;1632;2019
SUZUKI;combustion;855;2019
FORD;combustion;1115;2019
HYUNDAI;combustion;870;2019
RENAULT;combustion;5799;2020
CHEVROLET;combustion;5110;2020
MAZDA;combustion;2636;2020
TOYOTA;combustion;1807;2020
NISSAN;combustion;1804;2020
KIA;combustion;1608;2020
VOLKSWAGEN;combustion;1477;2020
SUZUKI;combustion;954;2020
FORD;combustion;903;2020
HYUNDAI;combustion;578;2020
RENAULT;combustion;4124;2021
CHEVROLET;combustion;4124;2021
MAZDA;combustion;1768;2021
TOYOTA;combustion;1861;2021
NISSAN;combustion;1522;2021
KIA;combustion;2144;2021
VOLKSWAGEN;combustion;1481;2021
SUZUKI;combustion;2418;2021
FORD;combustion;856;2021
HYUNDAI;combustion;602;2021
RENAULT;combustion;0;2022
CHEVROLET;combustion;3857;2022
MAZDA;combustion;857;2022
TOYOTA;combustion;2049;2022
NISSAN;combustion;892;2022
KIA;combustion;1848;2022
VOLKSWAGEN;combustion;1142;2022
SUZUKI;combustion;1556;2022
FORD;combustion;475;2022
HYUNDAI;combustion;601;2022
TOYOTA;electrico;210;2019
KIA;electrico;189;2019
FORD;electrico;2;2019
BYD;electrico;47;2019
BMW;electrico;45;2019
ORANSH;electrico;0;2019
MERCEDES BENZ;electrico;38;2019
STARK;electrico;42;2019
SUBARU;electrico;0;2019
RENAULT;electrico;7;2019
MINI;electrico;0;2019
SUZUKI;electrico;0;2019
VOLVO;electrico;0;2019
AUDI;electrico;0;2019
HYUNDAI;electrico;0;2019
TOYOTA;electrico;472;2020
KIA;electrico;142;2020
FORD;electrico;200;2020
BYD;electrico;145;2020
BMW;electrico;31;2020
ORANSH;electrico;72;2020
MERCEDES BENZ;electrico;30;2020
STARK;electrico;23;2020
SUBARU;electrico;45;2020
RENAULT;electrico;38;2020
MINI;electrico;18;2020
SUZUKI;electrico;0;2020
VOLVO;electrico;17;2020
AUDI;electrico;10;2020
HYUNDAI;electrico;0;2020
TOYOTA;electrico;524;2021
KIA;electrico;352;2021
FORD;electrico;122;2021
BYD;electrico;54;2021
BMW;electrico;67;2021
ORANSH;electrico;0;2021
MERCEDES BENZ;electrico;53;2021
STARK;electrico;0;2021
SUBARU;electrico;42;2021
RENAULT;electrico;0;2021
MINI;electrico;39;2021
SUZUKI;electrico;384;2021
VOLVO;electrico;40;2021
AUDI;electrico;77;2021
HYUNDAI;electrico;16;2021
TOYOTA;electrico;853;2022
KIA;electrico;0;2022
FORD;electrico;0;2022
BYD;electrico;213;2022
BMW;electrico;56;2022
ORANSH;electrico;;2022
MERCEDES BENZ;electrico;213;2022
STARK;electrico;0;2022
SUBARU;electrico;58;2022
RENAULT;electrico;0;2022
MINI;electrico;0;2022
SUZUKI;electrico;432;2022
VOLVO;electrico;64;2022
AUDI;electrico;0;2022
HYUNDAI;electrico;42;2022